Date,Trap,Latitude,Longitude,Tavg,DewPoint,PrecipTotal,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS
2007-04-09,T009,41.981964000000005,-87.812827,77.5,59.5,0.0,0,1,0,0,0,0,0
2013-06-09,T002,41.95469,-87.800991,73.0,56.5,0.0,0,0,1,0,0,0,0
2007-05-09,T162,41.725516999999996,-87.61425799999999,80.0,62.5,0.0005,0,1,0,0,0,0,0
2009-06-22,T900,41.974689,-87.890615,79.5,67.0,0.075,0,0,1,0,0,0,0
2007-08-22,T200,41.678618,-87.559308,80.0,70.5,0.625,0,0,1,0,0,0,0
2007-04-09,T012,41.991429,-87.747113,77.5,59.5,0.0,0,0,1,0,0,0,0
2009-07-08,T221,41.659112,-87.53869300000001,70.0,59.0,0.28,0,0,0,1,0,0,0
2009-12-06,T030,41.899229999999996,-87.716788,61.5,49.0,0.001,0,1,0,0,0,0,0
2007-09-25,T206,41.737052,-87.54306700000001,74.5,65.5,0.14,0,1,0,0,0,0,0
2007-09-24,T145,41.878114000000004,-87.629798,80.0,62.5,0.0,0,0,1,0,0,0,0
2009-09-17,T144,41.94016,-87.794896,62.0,51.5,0.0,0,0,1,0,0,0,0
2011-06-24,T028,41.986921,-87.689778,64.0,55.5,0.0,0,0,1,0,0,0,0
2009-07-24,T033,41.906638,-87.701431,72.5,59.5,0.165,0,0,1,0,0,0,0
2007-09-24,T162,41.725516999999996,-87.61425799999999,80.0,62.5,0.0,0,0,1,0,0,0,0
2007-01-08,T039,41.911823999999996,-87.726737,80.5,62.5,0.0,0,0,1,0,0,0,0
2007-07-18,T152,41.846075,-87.716277,77.0,68.5,1.235,0,0,0,1,0,0,0
2007-01-08,T085,41.721474,-87.648064,80.5,62.5,0.0,0,0,0,1,0,0,0
2009-12-06,T080,41.754676,-87.612922,61.5,49.0,0.001,0,0,1,0,0,0,0
2007-09-19,T115,41.673408,-87.599862,75.5,59.0,0.0,0,0,0,1,0,0,0
